tke,eff_theta,meas_theta,de_target,de_chamber,de_air
195.963,49,49.2705,1.21223,0.0517868,0.44792
191.629,49.5,49.7738,1.23047,0.052577,0.453669
187.326,50,50.2772,1.24858,0.0533616,0.459437
183.053,50.5,50.7807,1.26656,0.0541407,0.46523
178.813,51,51.2843,1.28593,0.0549942,0.471707
174.606,51.5,51.7881,1.41641,0.055816,0.478709
170.433,52,52.292,1.43952,0.0567327,0.485767
166.295,52.5,52.7959,1.46537,0.0577094,0.49326
162.193,53,53.3,1.49104,0.0586774,0.500651
158.128,53.5,53.8041,1.51785,0.0597464,0.509062
154.101,54,54.3084,1.54516,0.0608272,0.517583
150.113,54.5,54.8129,1.5729,0.0619452,0.526476
146.163,55,55.3176,1.7277,0.0630519,0.536175
142.254,55.5,55.8223,1.76067,0.0642263,0.54544
138.387,56,56.3272,1.79609,0.0655723,0.556386
134.561,56.5,56.8322,1.83268,0.0669287,0.567389
130.777,57,57.3374,1.86938,0.0683302,0.578771
127.038,57.5,57.8428,1.9112,0.0698593,0.591325
123.343,58,58.3485,2.09314,0.0712931,0.604058
119.692,58.5,58.8543,2.13965,0.0729437,0.617814
116.087,59,59.3602,2.18974,0.0746521,0.632
112.528,59.5,59.8664,2.23918,0.0763385,0.645947
109.016,60,60.3731,2.44866,0.0782254,0.663022
105.552,60.5,60.8797,2.51128,0.0801698,0.679349
102.135,61,61.3867,2.57314,0.0821433,0.696298
98.7674,61.5,61.8939,2.64205,0.0844392,0.715598
95.4489,62,62.4013,2.71287,0.0867033,0.734784
92.1803,62.5,62.9095,2.95904,0.0890139,0.756358
88.962,63,63.4177,3.04623,0.0917428,0.779718
85.7948,63.5,63.9262,3.13686,0.0944324,0.802755
82.6791,64,64.4356,3.41912,0.097212,0.828922
79.6152,64.5,64.9449,3.52608,0.100462,0.857013
76.6038,65,65.4547,3.63867,0.103663,0.884718
73.6452,65.5,65.9657,3.96171,0.106913,0.91565
70.7401,66,66.4765,4.08559,0.110747,0.949117
67.8886,66.5,66.988,4.221,0.11482,0.985675
65.0915,67,67.5011,4.61791,0.11931,1.02748
62.3489,67.5,68.0141,4.79904,0.124148,1.07076
59.6614,68,68.529,5.23429,0.12943,1.12195
57.0293,68.5,69.0438,5.43399,0.135383,1.17487
54.4531,69,69.5595,5.65512,0.141531,1.23084
51.9331,69.5,70.0784,6.20258,0.148342,1.29532
49.4696,70,70.5971,6.49637,0.156031,1.36762
47.063,70.5,71.1199,7.14204,0.164821,1.45526
44.7134,71,71.6454,7.8381,0.175973,1.55949
42.4214,71.5,72.1708,8.23016,0.186835,1.66514
40.1872,72,72.7036,9.07654,0.201255,1.80597
38.011,72.5,73.2368,9.61167,0.216277,1.95695
35.8932,73,73.7827,10.7052,0.23868,2.18778
33.8341,73.5,74.3409,11.9973,0.267762,2.49393
31.8339,74,74.9196,13.562,0.308291,2.95384
