eff_theta,meas_theta,de_target,de_chamber,de_air
49,49.6828,4.14206,0.183945,1.61806
49.5,50.1827,4.14206,0.183945,1.61448
50,50.6827,4.14206,0.183945,1.61125
50.5,51.1826,4.14206,0.183945,1.60803
51,51.6825,4.14206,0.183945,1.60481
51.5,52.1859,4.50416,0.184992,1.61596
52,52.6859,4.50416,0.184992,1.61306
52.5,53.1858,4.50416,0.184992,1.61017
53,53.6858,4.50416,0.184992,1.60764
53.5,54.1857,4.50416,0.184992,1.60511
54,54.6856,4.50416,0.184992,1.60294
54.5,55.1856,4.50416,0.184992,1.60078
55,55.6891,4.86917,0.186052,1.61357
55.5,56.1891,4.86917,0.186052,1.61175
56,56.689,4.86917,0.186052,1.60992
56.5,57.189,4.86917,0.186052,1.60846
57,57.689,4.86917,0.186052,1.60701
57.5,58.1889,4.86917,0.186052,1.60555
58,58.6925,5.23716,0.187386,1.61933
58.5,59.1925,5.23716,0.187386,1.61823
59,59.6925,5.23716,0.187386,1.61749
59.5,60.1925,5.23716,0.187386,1.61676
60,60.6962,5.60863,0.188768,1.63138
60.5,61.1962,5.60863,0.188768,1.63064
61,61.6962,5.60863,0.188768,1.63064
61.5,62.1962,5.60863,0.188768,1.63027
62,62.6962,5.60863,0.188768,1.63027
62.5,63.1999,5.98367,0.190161,1.6455
63,63.7,5.98367,0.190161,1.64588
63.5,64.2,5.98367,0.190161,1.64625
64,64.7039,6.36232,0.191565,1.66273
64.5,65.2039,6.36232,0.191565,1.66348
65,65.7039,6.36232,0.191565,1.66424
65.5,66.2079,6.74462,0.192978,1.68162
66,66.7079,6.74462,0.192978,1.68277
66.5,67.208,6.74462,0.192978,1.68391
67,67.7121,7.1306,0.194402,1.70222
67.5,68.2121,7.1306,0.194402,1.70376
68,68.7163,7.5203,0.195886,1.72296
68.5,69.2164,7.5203,0.195886,1.72491
69,69.7164,7.5203,0.195886,1.72687
69.5,70.2208,7.91387,0.197496,1.74675
70,70.7208,7.91387,0.197496,1.74912
70.5,71.2253,8.31155,0.19912,1.76981
71,71.7299,8.71338,0.200757,1.79142
71.5,72.23,8.71338,0.200757,1.79425
72,72.7347,9.1194,0.202407,1.81729
72.5,73.2348,9.1194,0.202407,1.82056
73,73.7397,9.52966,0.204071,1.84507
73.5,74.2447,9.9442,0.205794,1.87057
74,74.7499,10.3632,0.207828,1.89699
74.5,75.2552,10.7873,0.209888,1.92444
75,75.7607,11.2164,0.211968,1.95427
75.5,76.2608,11.2164,0.211968,1.95864
76,76.7723,12.0903,0.216189,2.02
