#p_theta_rdc,p_e (data for NaIs cal.)
50,34.0699
50.1,34.0699
50.2,34.0699
50.3,34.0699
50.4,34.0699
50.5,34.0699
50.6,34.0699
50.7,34.0699
50.8,34.0699
50.9,34.0699
51,34.0699
51.1,34.0699
51.2,34.0699
51.3,34.0699
51.4,34.0699
51.5,34.0699
51.6,34.0699
51.7,34.0699
51.8,34.0699
51.9,34.0699
52,194.889
52.1,193.929
52.2,192.97
52.3,192.013
52.4,191.058
52.5,190.105
52.6,189.153
52.7,188.203
52.8,187.255
52.9,186.309
53,185.365
53.1,90.9691
53.2,90.3096
53.3,89.8715
53.4,89.22
53.5,88.7926
53.6,88.1502
53.7,87.7338
53.8,87.1006
53.9,86.6969
54,86.0743
54.1,85.6827
54.2,85.0712
54.3,84.4646
54.4,84.0923
54.5,83.4971
54.6,83.1375
54.7,82.5541
54.8,82.2052
54.9,81.597
55,81.2292
55.1,80.6341
55.2,80.2815
55.3,79.7017
55.4,79.4015
55.5,78.87
55.6,78.3452
55.7,78.0669
55.8,77.5539
55.9,77.2904
56,76.7903
56.1,76.5421
56.2,76.0557
56.3,75.8227
56.4,75.3502
56.5,75.1328
56.6,74.6742
56.7,74.472
56.8,74.0271
56.9,73.5882
57,73.409
57.1,72.9857
57.2,72.8251
57.3,72.4187
57.4,72.2749
57.5,71.8848
57.6,71.7589
57.7,71.3851
57.8,71.2774
57.9,70.8873
58,70.7561
58.1,70.3752
58.2,70.0018
58.3,69.8982
58.4,69.5706
58.5,69.5232
58.6,69.2228
58.7,69.194
58.8,68.9102
58.9,68.8987
59,68.6318
59.1,68.6383
59.2,68.3885
59.3,68.4121
59.4,68.1783
59.5,68.2194
59.6,68.0032
59.7,68.062
59.8,67.8642
59.9,67.6507
60,67.6955
60.1,67.4814
60.2,67.5442
60.3,67.3489
60.4,67.4515
60.5,67.3137
60.6,67.4532
60.7,67.334
60.8,67.4917
60.9,67.3898
61,67.5646
61.1,67.4804
61.2,67.6729
61.3,67.6058
61.4,67.8148
61.5,67.7655
61.6,67.9909
61.7,67.9575
61.8,68.1997
61.9,68.1838
62,68.4404
62.1,68.4415
62.2,68.7156
62.3,68.7332
62.4,68.7493
62.5,69.0058
62.6,69.0077
62.7,69.2818
62.8,69.3008
62.9,69.5978
63,69.6724
63.1,70.0163
63.2,70.1069
63.3,70.4659
63.4,70.5722
63.5,70.944
63.6,71.0643
63.7,71.4498
63.8,71.5851
63.9,71.9831
64,72.093
64.1,72.4656
64.2,72.5904
64.3,72.9764
64.4,73.1157
64.5,73.5486
64.6,73.7387
64.7,74.1871
64.8,74.3914
64.9,74.852
65,75.0685
65.1,84.7566
65.2,84.0572
65.3,83.3602
65.4,82.6655
65.5,81.9457
65.6,81.2195
65.7,80.4956
65.8,79.7741
65.9,79.055
66,78.3602
66.1,77.6794
66.2,77.0009
66.3,76.3248
66.4,75.6511
66.5,74.9792
66.6,74.3093
66.7,73.6417
66.8,72.9765
66.9,72.3138
67,71.6352
67.1,70.937
67.2,70.2412
67.3,69.5478
67.4,68.8568
67.5,68.181
67.6,67.5328
67.7,66.887
67.8,66.2437
67.9,65.6028
68,64.954
68.1,64.2703
68.2,63.589
68.3,62.9102
68.4,62.2337
68.5,61.5628
68.6,60.9287
68.7,60.2969
68.8,59.6677
68.9,59.0409
69,58.4165
69.1,57.7937
69.2,57.1732
69.3,56.5552
69.4,55.9396
69.5,55.3264
69.6,54.6746
69.7,54.0154
69.8,53.3586
69.9,52.7042
70,52.0522
70.1,51.4315
70.2,50.8294
70.3,50.2297
70.4,49.6324
70.5,49.0376
70.6,48.4161
70.7,47.7652
70.8,47.1166
70.9,46.4705
71,45.8269
71.1,45.182
71.2,44.5304
71.3,43.8812
71.4,43.2344
71.5,42.59
71.6,41.9514
71.7,41.3614
71.8,40.7739
71.9,40.1889
72,39.6063
72.1,39.0262
72.2,38.3893
72.3,37.7442
72.4,37.1015
72.5,36.4612
72.6,35.8233
72.7,35.2208
72.8,34.6442
72.9,34.0699
